Date;Bookmaker;Tipster;Sport;Type;Intitule du pari;Cote;Mise;Gain;Benefice;Etat
5/28/2018;Asianodds;Autre Tipster;Football;Simple;Vitoria 0.5;2.08;280;582.4;302.4;Gagne
5/28/2018;Asianodds;Autre Tipster;Football;Simple;Cruzeiro 0;1.87;250;467.5;217.5;Gagne
5/28/2018;Asianodds;Autre Tipster;Football;Simple;Corinthians 1 (1-0);1.76;250;-250;-250;Perdu
5/28/2018;Asianodds;Autre Tipster;Football;Simple;Santos 0;2.06;210;-210;-210;Perdu
5/28/2018;MarathonBet;Autre Tipster;Football;Simple;Gimnastic -1;2.52;300;0;0;Rembourse
5/28/2018;Pinnacle;Autre Tipster;Football;Simple;Under 2.5 : Bahia;1.819;210;-210;-210;Perdu
5/28/2018;Asianodds;Autre Tipster;Football;Simple;Huesca 1;1.704;250;0;0;Rembourse
5/28/2018;MarathonBet;Autre Tipster;Football;Simple;Trakai -1.25;1.91;240;-120;-120;Moitie perdu
5/28/2018;Pinnacle;Autre Tipster;Football;Simple;Toulouse -0.75;2.02;250;377.5;127.5;Moitie gagne
5/27/2018;MarathonBet;Awer;Football;Simple;hradec kralove u21 - 2;1.98;102;201.96;99.96;Gagne
5/27/2018;Pinnacle;Awer;Football;Simple;SK Slavia Praha U21 - Dukla Prague U21 Full Event Over 4;2.05;300;-300;-300;Perdu
5/27/2018;Pinnacle;Awer;Football;Simple;Velke Mezirici 1;1.961;300;588.3;288.3;Gagne
5/27/2018;Pinnacle;Awer;Football;Simple;teplice u 21 netbet aussi;2.21;300;663;363;Gagne
5/27/2018;Pinnacle;Awer;Football;Simple;Velke Mezirici - HFK Olomouc Full Event Over 5.25;1.99;300;-150;-150;Moitie perdu
5/27/2018;Asianodds;Bario;Football;Simple;posta rangers +1;1.729;200;-200;-200;Perdu
5/27/2018;188Bet;Bario;Football;Simple;Ulinzi Stars 0;1.8;200;-200;-200;Perdu
5/27/2018;188Bet;Bario;Football;Simple;bandari 1;1.95;200;0;0;Rembourse
5/27/2018;Pinnacle;Basket LNB;Basketball;Simple;roanne -1.5;1.909;150;286.35;136.35;Gagne
5/27/2018;Pinnacle;Basket LNB;Basketball;Simple;fos sur mer 3.5;1.925;150;288.75;138.75;Gagne
5/27/2018;Pinnacle;Basket LNB;Basketball;Simple;fos sur mer;2.18;150;327;177;Gagne
