Date;Bookmaker;Tipster;Sport;Type;Intitule du pari;Cote;Mise;Gain;Benefice;Etat
8/28/2018;Bet365;Xargos;Basketball;Simple;Bulacan Kuyas vs Batangas City Athletics Over 128.5;1.833;300;-300;-300;Perdu
8/28/2018;Pinnacle;Jorge_Javier;Tennis;Simple;voegele;2.28;200;-200;-200;Perdu
8/28/2018;Bet365;Cheser;Football;Simple;eskiltsuna u 21 0.75;1.75;200;350;150;Gagne
8/28/2018;Bet365;Cheser;Football;Simple;eskiltsuna u 21 or X;3.5;200;700;500;Gagne
8/28/2018;Asianodds;SGB;Football;Simple;sevan -0.25 ht;1.85;200;-100;-100;Moitie perdu
8/28/2018;MarathonBet;Atlantic Puffin;Football;Simple;hammarby u 21 ht;1.83;240;439.2;199.2;Gagne
8/28/2018;MarathonBet;Cheser;Football;Simple;eskiltsuna u 21 ht;1.95;324;-324;-324;Perdu
8/28/2018;Bet365;Cheser;Football;Simple;eskiltsuna u 21 -1.5;2.37;320;758.4;438.4;Gagne
8/28/2018;Pinnacle;Autre Tipster;Football;Simple;Ajax 0.25;1.787;300;418.05;118.05;Moitie gagne
8/28/2018;Pinnacle;Jorge_Javier;Tennis;Simple;wang;1.684;200;336.8;136.8;Gagne
8/28/2018;Betway;Cheser;Football;Simple;China PR Women -1 HT;1.81;52;-52;-52;Perdu
8/28/2018;Betway;Womens Footie;Football;Simple;China PR Women -3.5;1.88;210;-210;-210;Perdu
8/28/2018;Betway;Cheser;Football;Simple;China PR Women -3.5;1.88;328;-328;-328;Perdu
8/28/2018;Betway;Cheser;Football;Simple;China PR Women -1.25 (1st Half Asian Handicap (;1.89;420;-420;-420;Perdu
8/28/2018;MarathonBet;Cheser;Football;Simple;dundee R or X;1.76;262;461.12;199.12;Gagne
8/28/2018;Bet365;Nowi;Tennis;Simple;procopio;1.61;400;644;244;Gagne
8/28/2018;MarathonBet;Marcip;Football;Simple;kashima -1;1.84;250;460;210;Gagne
8/28/2018;Betway;EBA;Football;Simple;sunshine coast w over 5;1.94;262;-262;-262;Perdu
8/28/2018;Asianodds;Awer;Football;Simple;slovacko u 21 ht;2.14;38;81.32;43.32;Gagne
8/28/2018;Betway;Marcip;Football;Simple;south korea w + 1;1.77;262;0;0;Rembourse
8/28/2018;Pinnacle;Awer;Football;Simple;slovacko -1.75;2.2;161;354.2;193.2;Gagne
8/28/2018;MarathonBet;Hockey Betting;Hockey sur glace;Simple;combo;2;250;-250;-250;Perdu
8/28/2018;MarathonBet;Awer;Football;Simple;slovacko -1.75;2.4;103;247.2;144.2;Gagne
8/28/2018;MarathonBet;Cheser;Football;Simple;cuba w -5.5;2.08;260;540.8;280.8;Gagne
8/28/2018;MarathonBet;Cheser;Football;Simple;cuba w -5;1.85;165;305.25;140.25;Gagne
8/28/2018;Bet365;Nowi;Tennis;Simple;lavagno;3.75;200;-200;-200;Perdu
8/28/2018;Bet365;Nowi;Tennis;Simple;dougaz vencl orlov;1.81;300;543;243;Gagne
8/28/2018;Bet365;Nowi;Tennis;Simple;loffhagen;2.2;200;-200;-200;Perdu
8/28/2018;Bet365;Nowi;Tennis;Simple;nikles;1.66;180;-180;-180;Perdu
8/28/2018;Bet365;Nowi;Tennis;Simple;fetislam;1.83;250;-250;-250;Perdu
8/28/2018;MarathonBet;Nowi;Tennis;Simple;nikles;1.71;122;-122;-122;Perdu
8/28/2018;Bet365;Nowi;Tennis;Simple;cornea;1.9;250;475;225;Gagne
8/28/2018;MarathonBet;Nowi;Tennis;Simple;fetislam;1.9;72;-72;-72;Perdu
8/28/2018;MarathonBet;Nowi;Tennis;Simple;cornea;2.09;54;112.86;58.86;Gagne
8/28/2018;Pinnacle;ThePlayer34;Volleyball;Simple;mongolia -1.5;2.61;120;-120;-120;Perdu
8/28/2018;Asianodds;TheBasketWizard;Basketball;Simple;indonesia + 12;1.81;250;452.5;202.5;Gagne
8/28/2018;Pinnacle;Slavs Tips;Football;Simple;slovacko u 21 -1;2.55;300;765;465;Gagne
8/28/2018;188Bet;Opsimos;Volleyball;Simple;qatar -11.5;1.84;100;-100;-100;Perdu
8/28/2018;188Bet;Opsimos;Volleyball;Simple;qatar -1.5;1.47;200;-200;-200;Perdu
8/28/2018;Pinnacle;Opsimos;Volleyball;Simple;qatar -2.5;2.48;200;-200;-200;Perdu
8/28/2018;Pinnacle;ThePlayer34;Football;Simple;Mongolia;1.862;360;-360;-360;Perdu
8/28/2018;Asianodds;The Turing Bombe;Football;Simple;KTP - EIF Ekanas;3.44;250;860;610;Gagne
8/28/2018;Asianodds;Brucinger;Football;Simple;Over 4 : Dalkurd - Hammarby;1.943;300;582.9;282.9;Gagne
8/28/2018;Bet365;Autre Tipster;Football;Simple;Over 2.5 : L'Entregu;2;240;-240;-240;Perdu
8/28/2018;Pinnacle;Zigfrid;Football;Simple;Roma -1;2.01;600;-600;-600;Perdu
8/28/2018;Bet365;Autre Tipster;Football;Simple;UCAM Murcia CF B -0.25;1.825;180;328.5;148.5;Gagne
8/28/2018;Bet365;Atlantic Puffin;Football;Simple;Lillestrom 2 -0.75 HT;1.925;225;433.13;208.13;Gagne
8/28/2018;MarathonBet;Jorge_Javier;Tennis;Simple;Natalia Vikhlyantseva;3.15;200;-200;-200;Perdu
8/28/2018;MarathonBet;Norskii;Football;Simple;eleverum;1.71;300;-300;-300;Perdu
