Date;Bookmaker;Tipster;Sport;Type;Intitule du pari;Cote;Mise;Gain;Benefice;Etat
12/08/2018;Pinnacle;Nico Grim;Athletisme;Simple;Evora gagne le concours;3.25;10;32.5;22.5;Gagne
12/08/2018;Pinnacle;Nico Grim;Athletisme;Simple;Ennaoui devant Weightman;1.689;30;50.67;20.67;Gagne
12/08/2018;Pinnacle;Nico Grim;Athletisme;Simple;Chicoka devant Mc Gean;2.01;20;-20;-20;Perdu
12/08/2018;Pinnacle;Nico Grim;Athletisme;Simple;Kloster devant Mc Colgan;1.55;30;-30;-30;Perdu
12/08/2018;Winamax;ADP Tipster;Autre sport;Simple;Huberli/Betschart;2.55;15;38.25;23.25;Gagne
12/08/2018;Bwin;ADP Tipster;Auto-Moto;Simple;Bastianini vainqueur;8;20;-20;-20;Perdu
12/08/2018;Bwin;ADP Tipster;Auto-Moto;Simple;Bagnaia vainqueur;3;12;36;24;Gagne
12/08/2018;Bwin;ADP Tipster;Auto-Moto;Simple;Bagnaia vainqueur;3.75;10;37.5;27.5;Gagne
12/08/2018;ParionsSport;ADP Tipster;Auto-Moto;Simple;Bezzecchi vainqueur;3.25;10;32.5;22.5;Gagne
11/08/2018;Unibet;Nico Grim;Athletisme;Simple;Shara Proctor;4.75;10;-10;-10;Perdu
11/08/2018;Winamax;Nico Grim;Football;Simple;Kramer devant De Arriba;1.7;15;25.5;10.5;Gagne
11/08/2018;ParionsSport;Nico Grim;Athletisme;Simple;Prono Facebook Live NicoGrim;4.5;10;45;35;Gagne
11/08/2018;ParionsSport;Nico Grim;Athletisme;Simple;Prono Facebook Live NicoGrim;2;10;-10;-10;Perdu
11/08/2018;ParionsSport;Nico Grim;Athletisme;Simple;Prono Facebook Live NicoGrim;1.6;25;40;15;Gagne
11/08/2018;ParionsSport;Nico Grim;Athletisme;Simple;Prono Facebook Live NicoGrim;1.8;25;45;20;Gagne
11/08/2018;Pinnacle;Nico Grim;Athletisme;Simple;H. Ingebritsen devant Hamdouni;1.757;20;35.14;15.14;Gagne
11/08/2018;Pinnacle;Nico Grim;Athletisme;Simple;Jakob Ingebritsen devant Mekhissi;1.84;30;0;0;Rembourse
11/08/2018;Bwin;Nico Grim;Athletisme;Simple;Jakob Ingebritsen gagne la course;4.4;4.5;-4.5;-4.5;Perdu
10/08/2018;Betclic;Nico Grim;Athletisme;Simple;Sergey Shubenkov vainqueur;3.7;7;-7;-7;Perdu
09/08/2018;Pinnacle;Nico Grim;Athletisme;Simple;Carro devant Bedrani;1.85;30;55.5;25.5;Gagne
09/08/2018;Pinnacle;Nico Grim;Athletisme;Simple;Vaillant devant Dobek;2.3;20;46;26;Gagne
09/08/2018;Pinnacle;Nico Grim;Athletisme;Simple;Desalu devant Reid;2.08;30;62.4;32.4;Gagne
09/08/2018;Winamax;Nico Grim;Athletisme;Simple;Bedrani devant Carro;2.15;10;-10;-10;Perdu
09/08/2018;ParionsSport;Nico Grim;Athletisme;Simple;Hortelano gagne la course;3.75;10;-10;-10;Perdu
08/08/2018;Pinnacle;Nico Grim;Athletisme;Simple;Can gagne la course;1.735;20;-20;-20;Perdu
08/08/2018;ParionsSport;Nico Grim;Athletisme;Simple;Ordonez gagne la course;5;10;-10;-10;Perdu
08/08/2018;Pinnacle;Nico Grim;Athletisme;Simple;Lamotte gagne la course (un peu Winamax);3.75;15;-15;-15;Perdu
08/08/2018;ParionsSport;Nico Grim;Athletisme;Simple;Prychepa gagne la course;3.75;15;56.25;41.25;Gagne
08/08/2018;Unibet;Nico Grim;Athletisme;Simple;Kszczot gagne la course;3.75;20;75;55;Gagne
08/08/2018;PMU;Nico Grim;Athletisme;Simple;Vetter gagne le concours;4.22;10;-10;-10;Perdu
